hotel_name,class_of_rating,rating,num_reviews
Beacon Hill Apartment,N/A,N/A,N/A
One-Bedroom on Arch Street Apt 2D,Very Good,8.1,7
One-Bedroom on Arch Street Apt 3D,Excellent,8.7,9
Two-Bedroom on Washington Street Apt 402,Very Good,8.1,14
One-Bedroom on Warrenton Street Apt 19,Review score,6.7,8
Gorgeous Unique 3BR/3BA Duplex North End (M-G),N/A,N/A,N/A
Two-Bedroom on Milk Street Apt 3D,Exceptional,9.5,6
Two Bedroom Apartment in Downtown Boston by STARS of Boston,Good,7.3,28
One-Bedroom on D Street Apt 111,Awesome,9.4,7
One-Bedroom on D Street Apt 329,N/A,N/A,N/A
2 Bedroom Apartment in Downtown Boston,N/A,N/A,N/A
The Ritz-Carlton Boston,Very Good,8.2,53
The Michelle 1,Excellent,8.8,6
DoubleTree Club by Hilton Hotel Boston Bayside,Very Good,8.0,731
PIER 4,N/A,N/A,N/A
One-Bedroom on Brookline Avenue Apt 203,N/A,N/A,N/A
One-Bedroom on D Street Apt 246,N/A,N/A,N/A
Reggie's Place,Good,7.8,17
Residence Inn by Marriott Boston Downtown Seaport,Excellent,8.8,85
Egleston Square Condo Jamaica Plain,N/A,N/A,N/A
Beacon Hill Hotel,Excellent,8.7,130
Apartment by Tufts Medical by STARS of Boston,Review score,6.6,10
Boston Best Furnished Studio (H2A),N/A,N/A,N/A
Four-Bedroom on Hamilton Place Apt 507,N/A,N/A,N/A
One-Bedroom on D Street Apt 348,N/A,N/A,N/A
